fdc_id,ingredient,description
321359,milk,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
321360,tomato,"Tomatoes, grape, raw"
321505,salt,"Salt, table, iodized"
321611,beans,"Beans, snap, green, canned, regular pack, drained solids"
321900,broccoli,"Broccoli, raw"
322228,milk,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
322559,milk,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
322892,milk,"Milk, whole, 3.25% milkfat, with added vitamin D"
323121,beef,"Frankfurter, beef, unheated"
323294,almonds,"Nuts, almonds, dry roasted, with salt added"
323444,ricotta,"Cheese, ricotta, whole milk"
323505,kale,"Kale, raw"
323604,egg,"Egg, whole, raw, frozen, pasteurized"
323697,egg,"Egg, white, raw, frozen, pasteurized"
323793,egg,"Egg, white, dried"
324157,beef,"Sausage, breakfast sausage, beef, pre-cooked, unprepared"
324317,onion,"Onion rings, breaded, par fried, frozen, prepared, heated in oven"
324860,butter,"Peanut butter, smooth style, with salt"
325036,parmesan_cheese,"Cheese, parmesan, grated"
325430,peach,"Peaches, yellow, raw"
325524,salt,"Seeds, sunflower seed kernels, dry roasted, with salt added"
325658,pork,"Sausage, Italian, pork, mild, cooked, pan-fried"
326196,kale,"Kale, frozen, cooked, boiled, drained, without salt"
327046,kiwi,"Kiwifruit, green, raw"
327198,melon,"Melons, cantaloupe, raw"
329370,mozzarella,"Cheese, mozzarella, low moisture, part-skim"
329490,egg,"Egg, whole, dried"
329596,egg,"Egg, yolk, raw, frozen, pasteurized"
329716,egg,"Egg, yolk, dried"
330137,yogurt,"Yogurt, Greek, plain, nonfat"
330415,yogurt,"Yogurt, Greek, strawberry, nonfat"
331897,chicken,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised"
331960,chicken,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"
332282,pasta,"Sauce, pasta, spaghetti/marinara, ready-to-serve"
332864,pork,"Sausage, pork, chorizo, link or ground, cooked, pan-fried"
333281,tomato,"Tomatoes, canned, red, ripe, diced"
334194,tuna,"Fish, tuna, light, canned in water, drained solids"
334247,sugar,"Sugars, granulated"
334462,pork,"Restaurant, Chinese, sweet and sour pork"
334628,pork,"Restaurant, Latino, tamale, pork"
334720,beans,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)"
334849,beef,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
334897,beef,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
334898,beef,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
334963,beef,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
335061,beef,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
335109,beef,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
335245,beans,"Beans, Dry, Dark Red Kidney (0% moisture)"
335306,beans,"Beans, Dry, Pink (0% moisture)"
335419,beans,"Beans, Dry, Navy (0% moisture)"
335422,beans,"Beans, Dry, Light Red Kidney (0% moisture)"
335425,beans,"Beans, Dry, Brown (0% moisture)"
335428,beans,"Beans, Dry, Flor de Mayo (0% moisture)"
335433,beans,"Beans, Dry, Carioca (0% moisture)"
335442,beans,"Beans, Dry, Tan (0% moisture)"
335695,beans,"Beans, Dry, Pinto (0% moisture)"
335774,beans,"Beans, Dry, Small Red (0% moisture)"
335777,beans,"Beans, Dry, Medium Red (0% moisture)"
335782,beans,"Beans, Dry, Cranberry (0% moisture)"
335785,beans,"Beans, Dry, Light Tan (0% moisture)"
335912,beans,"Beans, Dry, Black (0% moisture)"
335927,beans,"Beans, Dry, Small White (0% moisture)"
335930,beans,"Beans, Dry, Red (0% moisture)"
336067,beans,"Beans, Dry, Great Northern (0% moisture)"
746758,beef,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
746759,beef,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
746760,beef,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
746761,beef,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
746762,beef,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
746763,beef,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
746766,ricotta,"Cheese, ricotta, whole milk"
746770,melon,"Melons, cantaloupe, raw"
746772,milk,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
746774,pork,"Restaurant, Chinese, sweet and sour pork"
746775,salt,"Salt, table, iodized"
746776,milk,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
746778,milk,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
746779,beef,"Sausage, breakfast sausage, beef, pre-cooked, unprepared"
746780,pork,"Sausage, Italian, pork, mild, cooked, pan-fried"
746781,pork,"Sausage, pork, chorizo, link or ground, cooked, pan-fried"
746782,milk,"Milk, whole, 3.25% milkfat, with added vitamin D"
746784,sugar,"Sugars, granulated"
747430,beans,"Beans, Dry, Medium Red (0% moisture)"
747431,beans,"Beans, Dry, Red (0% moisture)"
747432,beans,"Beans, Dry, Flor de Mayo (0% moisture)"
747433,beans,"Beans, Dry, Brown (0% moisture)"
747434,beans,"Beans, Dry, Tan (0% moisture)"
747435,beans,"Beans, Dry, Light Tan (0% moisture)"
747436,beans,"Beans, Dry, Carioca (0% moisture)"
747437,beans,"Beans, Dry, Cranberry (0% moisture)"
747438,beans,"Beans, Dry, Light Red Kidney (0% moisture)"
747439,beans,"Beans, Dry, Pink (0% moisture)"
747440,beans,"Beans, Dry, Dark Red Kidney (0% moisture)"
747441,beans,"Beans, Dry, Navy (0% moisture)"
747442,beans,"Beans, Dry, Small White (0% moisture)"
747443,beans,"Beans, Dry, Small Red (0% moisture)"
747444,beans,"Beans, Dry, Black (0% moisture)"
747445,beans,"Beans, Dry, Pinto (0% moisture)"
747446,beans,"Beans, Dry, Great Northern (0% moisture)"
747447,broccoli,"Broccoli, raw"
747997,egg,"Eggs, Grade A, Large, egg white"
748236,egg,"Eggs, Grade A, Large, egg yolk"
748608,olive_oil,"Oil, olive, extra virgin"
748967,egg,"Eggs, Grade A, Large, egg whole"
749420,pork,"Pork, cured, bacon, cooked, restaurant"
789828,butter,"Butter, stick, unsalted"
789890,flour,"Flour, wheat, all-purpose, enriched, bleached"
789951,flour,"Flour, wheat, all-purpose, enriched, unbleached"
790018,flour,"Flour, wheat, all-purpose, unenriched, unbleached"
790085,flour,"Flour, whole wheat, unenriched"
790146,flour,"Flour, bread, white, enriched, unbleached"
790214,flour,"Flour, rice, white, unenriched"
790276,flour,"Flour, corn, yellow, fine meal, enriched"
790508,butter,"Butter, stick, salted"
790577,onion,"Onions, red, raw"
790646,onion,"Onions, yellow, raw"
